Date Collected,Plot,Waypoint,Block,Treatment,Bare Ground,Litter,Sti cur,Poa pra, Fes hal,Ros ark,Art lud,Art fri,Ast fal,Ast das,Ast lae,The rho,Com umb,Cam rot,Pot arg,Gal bor,Tradub-like,Pas mi,Agr sca,Ach mil,Bou gra,Carex,Eri cae,Ely tra,Eri gla,Sti com,Dan int,Ant par,Cal mon,Sol mis,Ane pat,Hel hoo,Vic ame,Geu tri,Cer arv,Tar off,Sis mon,Lat och,Lac tat,All tex,Poa ari,Tra dub,Oxy ser,Koe mac,Fra vir,Sym occ,Sti vir,Spi bet,Vio adu,Ery che,Poa pal,Fes rub,Het vil,Rub ida,Ane mul,Mon fis,Heli hoo,Ale aln,Gai ari,Con arv,,moss,Pot div,Cow pat,unk astrag. (Ast bis),Ort leu,Pen alb,rough mustard,slender wheat grass,fuzz auricle grass,unk forb 1
10-Jul-21,23,966,2,Sun/No fert/No thin,70,50,40,10,30,10,,,,5,,,7,t,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,24,966,2,Amb/No fert/No thin,50,30,30,,50,20,,1,1,,2,,5,t,,,,,,1,,20,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,
10-Jul-21,25,967,3,Sun/Fert/Thin,20,70,20,40,10,,,,,,,,,,,,,25,,,,10,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
10-Jul-21,26,967,3,Amb/Fert/Thin,t,120,20,40,,,,,,,,,,,,,,5,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,27,967,3,Amb/No fert/Thin,10,150,10,60,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,28,967,3,Sun/No fert/No thin,75,15,40,20,,,,,,10,,7,15,,,,,13,,,,10,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,29,967,3,Shade/Fert/Thin,t,200,,90,,,,,,,,,,,,,,2,,,,,,2,,,,,,,17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,30,967,3,Shade/No fert/No thin,t,120,15,100,,,,8,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,
10-Jul-21,31,967,3,Shade/No fert/Thin,40,60,60,,,,,,,50,,8,10,,,,,10,,,,,,,,,,,,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
10-Jul-21,32,967,3,Sun/Fert/No thin,20,70,90,10,5,,,,,,,,,,,,,10,5,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,33,967,3,Sun/No fert/Thin,60,10,50,10,,,,1,,,,,,,,,,10,,,,25,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
10-Jul-21,34,967,3,Amb/Fert/No thin,60,30,20,30,5,,,,,,,10,10,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
10-Jul-21,35,967,3,Amb/No fert/No thin,40,20,80,,,,,,,,,8,20,,,,,5,,,2,20,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,36,967,3,Shade/Fert/No thin,45,40,110,,,,,,,2,,,,,,,,25,,,,20,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,37,968,4,Shade/Fert/No thin,75,30,30,100,,,25,5,,1,,7,,,,,,10,,5,,,,,,,,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
10-Jul-21,38,968,4,Sun/No fert/Thin,40,70,5,10,,,20,5,20,10,,15,5,,,10,,1,2,,,,,15,,,,,,5,12,,10,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,39,968,4,Shade/Fert/Thin,10,100,15,15,,,,,30,10,,10,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
10-Jul-21,40,968,4,Amb/Fert/Thin,80,20,25,10,,,15,1,,15,,15,,,,,,5,,5,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,41,968,4,Sun/Fert/No thin,20,100,110,,10,,,,15,7,,20,,,,,,5,,,,,,,,,,,,,5,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,42,968,4,Shade/No fert/Thin,t,100,10,20,130,10,,,,1,,25,,,,,,8,,,,,,,,,,,,,15,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,43,968,4,Amb/No fert/Thin,10,100,5,30,,,15,,,5,,30,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,44,968,4,Sun/Fert/Thin,t,110,10,30,,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,45,968,4,Shade/No fert/No thin,60,30,35,,25,15,,20,25,,,40,,,,,,,,10,,,3,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,46,968,4,Sun/No fert/No thin,10,100,,80,,25,,,,t,,20,,,,45,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jul-21,47,968,4,Amb/Fert/No thin,20,80,5,90,,25,,,,,,25,,,,35,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,
10-Jul-21,48,968,4,Amb/No fert/No thin,t,100,20,,80,,10,,20,2,,15,,,,5,,5,,3,,,,5,,,,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,49,969,5,Shade/No fert/No thin,60,30,10,70,,,15,,12,15,,,7,,,,,,,10,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,50,969,5,Sun/Fert/Thin,10,90,15,20,5,,20,,20,1,,3,10,,,,,,,,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
11-Jul-21,51,969,5,Shade/No fert/Thin,50,40,15,15,10,25,30,,10,5,,,15,,,,,,,10,,15,,,,,,,,7,,,,,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,52,969,5,Amb/No fert/No thin,15,100,25,15,5,7,13,,10,2,,,5,3,,,,,,,,,,5,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
11-Jul-21,53,969,5,Amb/Fert/No thin,15,80,20,15,25,10,12,,10,5,,,5,,,,,,,,,,,10,,,,,,10,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,54,969,5,Sun/No fert/No thin,5,110,5,20,5,3,12,,10,5,,,5,5,,,,,,10,,,,5,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
11-Jul-21,55,969,5,Amb/Fert/Thin,40,70,25,10,10,10,,,20,,,,8,3,,,,,,,,,,1,,,,,,2,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,56,969,5,Shade/Fert/Thin,20,70,30,10,10,20,,,15,5,,,7,,,,,,,,,5,,5,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,57,969,5,Sun/No fert/Thin,40,70,30,,2,17,,,,35,,,,,,,,,,,,,,10,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,58,969,5,Sun/Fert/No thin,50,40,50,,5,,,,5,,20,,5,5,,,,,,,,20,1,,,,,,,10,,,,,,2,,,,,,,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,59,969,5,Shade/Fert/No thin,5,100,15,10,25,10,,,,2,,,1,1,,,,,,5,,15,,,,,,,,,,t,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,
11-Jul-21,60,969,5,Amb/No fert/Thin,65,40,25,,5,5,15,,30,5,,7,5,,,,,,,,,10,,,,,,,,3,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
11-Jul-21,61,970,6,Sun/No fert/Thin,40,50,20,5,15,,,,,,,10,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,62,970,6,Shade/Fert/Thin,10,100,15,,20,10,,8,,,,,,,,1,,,,,,20,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,63,970,6,Sun/Fert/Thin,20,90,15,15,3,8,25,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,64,970,6,Sun/No fert/No thin,25,70,25,25,10,,,10,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,65,970,6,Amb/Fert/No thin,20,100,20,20,,20,,,5,,,2,1,,,,,,,5,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,66,970,6,Sun/Fert/No thin,65,60,10,40,10,20,5,10,7,2,,,2,,,,,,,,,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,67,970,6,Amb/No fert/Thin,45,70,20,,,15,,,7,1,,5,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,68,970,6,Amb/Fert/Thin,20,80,30,25,15,15,,,,5,,3,,,,,,,,,,,,,,,,,,8,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,69,970,6,Shade/Fert/No thin,80,60,,200,,15,15,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,70,970,6,Shade/No fert/No thin,100,70,10,90,,5,,,,2,,10,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,71,970,6,Amb/No fert/No thin,40,50,10,25,15,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,72,970,6,Shade/No fert/Thin,40,60,10,25,,10,40,,5,8,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,73,971,7,Amb/Fert/No thin,60,30,15,10,10,5,30,8,5,,t,,13,5,,10,,,20,5,,15,,,1,,,,,20,,,,10,t,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,74,971,7,Shade/No fert/No thin,70,25,10,25,,15,35,,8,1,2,10,,,,10,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,75,971,7,Shade/No fert/Thin,75,20,20,15,,15,20,,8,,10,10,,,,20,,,,,,25,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
11-Jul-21,76,971,7,Sun/No fert/Thin,20,85,10,,20,5,25,,5,3,,5,7,,,7,,,,5,,,,5,,,,,,10,7,,,,,t,,,,,,t,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,77,971,7,Shade/Fert/Thin,20,100,5,15,,,45,t,5,,5,,3,1,,,,,,1,15,10,,,,,,,,1,,,,,,1,,,,,,5,,,5,,,7,1,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,78,971,7,Sun/Fert/No thin,75,10,15,20,,5,30,,,,,10,5,,1,15,,,,5,2,5,,,,,,,,3,,,,,,,,,,,,1,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,79,971,7,Sun/Fert/Thin,80,20,25,,,,15,,,,20,5,,,,10,,,,,,15,,,,,,,,2,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,80,971,7,Sun/No fert/No thin,40,80,15,10,20,,15,,5,,t,20,,,,10,,,,7,,,,5,,,,,,5,,,,,,,,,,,,5,,,7,15,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,81,971,7,Amb/Fert/Thin,80,10,10,5,,10,,15,20,,,2,1,,,10,,,,7,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,1,,
11-Jul-21,82,971,7,Amb/No fert/No thin,15,80,20,15,,5,15,,,,35,10,,10,,5,,1,15,1,,,5,10,,,5,,,8,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,83,971,7,Amb/No fert/Thin,5,100,20,10,,1,10,,,,10,15,,10,,10,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,,,,,,
11-Jul-21,84,971,7,Shade/Fert/No thin,20,80,20,15,,10,25,,,,5,,,5,,10,,,,3,,5,,,,,,,,8,,,,,,3,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,85,972,8,Shade/No fert/No thin,30,100,,150,,35,45,,,6,,5,,10,,,,,,7,,,,3,,,,,,20,5,,15,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,10,,,,,,,
11-Jul-21,86,972,8,Sun/No fert/No thin,15,100,10,10,20,5,25,,,1,,10,1,7,,10,,,,5,,,,3,10,,,,,10,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,87,972,8,Sun/Fert/Thin,t,110,,5,10,10,20,,7,,,25,,,,2,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
11-Jul-21,88,972,8,Shade/Fert/No thin,t,100,5,200,,12,55,,,,,10,,8,,10,,,,10,,,5,,,,,,,20,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,89,972,8,Amb/Fert/No thin,10,80,5,10,30,5,50,,,,2,15,,5,20,10,,,5,8,,,7,,,,,,,5,5,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,90,972,8,Sun/No fert/Thin,20,110,10,5,,15,10,,10,1,,15,,1,8,5,,,,5,,,,,,,,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,91,972,8,Amb/No fert/No thin,10,100,,20,20,,20,,,,,,8,10,,10,,,,5,,,10,,,,5,,,7,,,10,,,1,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,92,972,8,Shade/Fert/Thin,10,100,5,5,,,60,,5,2,,10,1,,10,30,,,,5,,,,,,,,,,10,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,93,972,8,Amb/No fert/Thin,20,100,5,5,15,5,10,t,10,,,20,,1,,10,,,,1,,5,,5,,,2,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,30,,,,,,
11-Jul-21,94,972,8,Amb/Fert/Thin,25,80,,15,,5,20,,,,,20,,8,,15,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,10,,,,,,,
11-Jul-21,95,972,8,Shade/No fert/Thin,10,100,5,15,,15,20,,3,2,,10,5,,,5,,,,5,,,,,,,,,,10,,,10,,,t,,,,,,3,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,96,972,8,Sun/Fert/No thin,t,100,5,40,,3,5,,10,15,,15,,,35,,,,,10,,,,8,,,,,,20,,,,,,,,15,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,97,973,9,Amb/No fert/No thin,t,100,10,20,5,15,30,,7,5,,5,,,,,,,,10,,,,10,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,98,973,9,Amb/Fert/No thin,15,100,,50,10,10,25,,7,,,,,,,,,,,,,,,,,,,,,3,,,,5,,,,,20,,,,15,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
11-Jul-21,99,973,9,Shade/Fert/Thin,t,110,15,15,3,10,25,2,10,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,100,973,9,Shade/No fert/Thin,10,100,25,20,,10,30,,10,2,,,,,,,,,,5,,t,1,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,101,973,9,Sun/Fert/Thin,t,100,5,15,,,60,,10,,,10,,,,10,,,,1,,,,,,,,,,,5,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jul-21,102,973,9,Amb/Fert/Thin,40,15,5,10,5,10,10,,10,15,,,,5,,,,,,2,,5,,5,,,,,,1,5,,,,,,,,,,,,25,,30,,,,,,t,,,,,,,,,,,,,,10,,,,,,
11-Jul-21,103,973,9,Shade/No fert/No thin,70,10,20,10,15,,25,,,,,20,,2,,,,,,5,,10,,10,,,,,,5,10,,,5,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
12-Jul-21,104,973,9,Sun/No fert/Thin,20,70,20,10,10,8,50,,10,,,15,8,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jul-21,105,973,9,Sun/No fert/No thin,25,60,15,40,,15,25,,10,15,,,,,,5,,,,1,,,,,,,,,,2,3,,,,,,,5,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jul-21,106,973,9,Shade/Fert/No thin,60,60,25,25,5,25,,10,5,,20,20,5,,,,,,,,,15,,,,,,,,,1,10,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
12-Jul-21,107,973,9,Amb/No fert/Thin,15,85,15,15,,10,35,,10,10,,5,10,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,
12-Jul-21,108,973,9,Sun/Fert/No thin,5,100,10,10,15,5,,,7,15,10,,,10,,5,,,,,,10,,5,,,,,,5,,t,,10,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
12-Jul-21,109,974,10,Shade/Fert/Thin,10,100,10,15,5,15,20,,5,10,5,,5,2,,,,,,10,,10,,5,,,,,,,,,35,5,,1,,,5,,,3,,,,,,,2,,,,,7,,,,,,,,,,,,,,,,,
12-Jul-21,110,974,10,Shade/No fert/Thin,t,110,,20,20,20,20,,10,,,,10,8,,,,,,5,,,,5,,,10,,,1,,,20,,1,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,
12-Jul-21,111,974,10,Amb/No fert/No thin,15,100,10,15,5,25,15,,10,10,,,7,5,,,,,5,5,,,,15,,,,,,1,,,5,,,,,25,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,
12-Jul-21,112,974,10,Amb/Fert/Thin,t,100,5,20,15,5,70,,5,,,,3,,,,,,,,1,,,10,,,5,,,1,3,,20,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
12-Jul-21,113,974,10,Sun/Fert/Thin,50,40,5,40,15,10,30,,5,10,,,8,5,,,,,,,,,,10,,,,,,,1,,25,,1,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,10,,,,,,,
12-Jul-21,114,974,10,Amb/Fert/No thin,t,100,5,20,,30,35,,1,10,,,,5,,,,,,10,,,,2,,,,,,,,,15,,,,,,,,,7,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,
12-Jul-21,115,974,10,Sun/No fert/Thin,t,100,10,15,20,15,30,,1,5,,,2,5,,,,,,,,,5,5,,,5,,,,,,7,,,,,,,,3,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
12-Jul-21,116,974,10,Sun/No fert/No thin,30,100,5,20,5,12,25,,,10,,,,10,,,,,,10,,10,,20,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,
12-Jul-21,117,974,10,Amb/No fert/Thin,10,80,,15,10,15,50,,20,10,,,,,,,,,,10,,,,5,,,,,,15,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
12-Jul-21,118,974,10,Shade/Fert/No thin,70,60,20,20,50,8,,5,10,5,,,3,3,,,,,,2,,,,10,,,,,,7,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
12-Jul-21,119,974,10,Shade/No fert/No thin,15,100,20,100,20,5,15,,10,5,1,,,10,,,,,,10,,,,15,,,,,,10,,,5,,,,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jul-21,120,974,10,Sun/Fert/No thin,t,100,30,20,5,15,25,,25,5,,,2,5,,,,,,,,,1,5,,,10,,,,,,15,,,,,,8,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
