Date Collected,Plot,Waypoint,Block,Treatment,Plot,Bare Ground,Litter,Ach mil,Agr sca,Ago gla,Ale aln,Ara div,And sep,Ane pat,Ane mul,Ant neg,Ant par,Ara hir,Arb ida,Art fri,Art lud,Ast das,Ast fal,Ast fle,Ast lae,Bou gra,Bro ine,Cam rot,Carex,Cer arv,Cir umb,Che alb,Col lin,Com umb,Con arv,Cow pat,Dan int,Dodecatheon sp.,Ely tra,Eri cae,Eri gla,Ery che,Fes hal,Fra vir,Gai ari,Gal bor,Gen ama,Geu tri,Hel hoo,Het vil,Koe mac,Lac tat,Lat och,Mon fis,Ort leu,Other lathyrus,Oxy ser,Pas smi,Pen alb,Poa ari,Poa pal,Poa pra,Pot arg,Pot con,Rock,Ros ark,Rub ida,Sil lat,Sis mon,Sol mis,Son arv,Sti cur,Sti vir,Sym occ,Tar off,The rho,Tra dub,Unknown Weed,Unkown Yellow Aster,Vic ame,Vio adu,Vio ped,Ziz apt
"July 24, 2023",11,897,1,Sun/No fert/No thin,11,30,70,5,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,10,,5,,25,,,,,,,,,,,,,,,,,,,,,
"July 24, 2023",12,897,1,Amb/No fert/No thin,12,20,75,10,,,,,,,,,,,,,,,35,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,,50,,,,,,,,,,,,,,,,,,,,,
"July 24, 2023",13,966,2,Sun/No fert/Thin,13,25,75,,,,,,,,,,,,,,,,15,,5,,,,,,,2,,10,,,,,,,,,15,,,,,,,,,,,,,,,5,,,,,,,,10,,,,5,,35,,5,,5,,,,,,,
"July 24, 2023",14,966,2,Sun/Fert/Thin,14,60,40,,,,,,,10,,,,,,,,,15,,5,,,,,,,1,,15,,,,,,,,,20,,,,,,,,5,,,,,,,,,,,,,,,10,,,,5,,25,,,,10,,,,,,,
"July 24, 2023",15,966,2,Amb/Fert/Thin,15,20,90,,,,,,,,,,,,,,,,15,,,,,,,,,1,,8,,,,,,,,,5,,,,,,,,,,,,,,,,,,,70,,,,10,,,,,,10,,,,,,,,5,,,
"July 24, 2023",16,966,2,Amb/No fert/Thin,16,65,40,,,,,,,,,,,,,,,5,15,,10,,,,10,,,,,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,25,,,,5,,45,,,,,,,,,,,
"July 24, 2023",17,966,2,Shade/No fert/No thin,17,10,100,,,,,,,,,,,,,,,1,25,,,,,,,,,,,10,,,,,,,,,5,,,,1,,,,,,,,,,,,,,,15,,,,15,,5,,,,45,,,,,,,,5,,,
"July 24, 2023",18,966,2,Shade/Fert/No thin,18,20,110,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,5,,,,5,,10,,,,,,,,,,,
"July 24, 2023",19,966,2,Sun/Fert/No thin,19,0,140,,,,,,,,,,,,,,,5,5,,,,,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,15,,,,,,10,,,,,,,,,,,
"July 24, 2023",20,966,2,Shade/No fert/Thin,20,10,85,1,5,,,,,,,,,,,10,,5,10,,,,,,,,,,,,,,,,,,,,10,,,,,,5,,,,,,,,,,,,,20,,,,10,,,,,,40,,,,,,,,,,,
"July 24, 2023",21,966,2,Shade/Fert/Thin,21,5,100,5,,,,,,1,,,,,,,,,,,10,,,5,,1,,1,,10,,,,,10,,,,30,,,,,,,,5,,,,,,,,,,,10,,,,10,,,,20,,40,,,,10,,,,,,,
"July 24, 2023",22,966,2,Amb/Fert/No thin,22,30,70,,,,,,,,,,,,,,,,10,,,,,,,,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,60,,,,,,,,,,,
"July 24, 2023",23,966,2,Sun/No fert/No thin,23,25,100,5,,,,,,,,,,,,,,,10,,5,,,5,5,,,,,5,,,,,,,,,10,,,,,,,,,,,,,,,,,,,10,,,,10,,,,,,30,,,,,,,,,,,
"July 24, 2023",24,966,2,Amb/No fert/No thin,24,15,100,1,,,,,,1,,,,,,10,,,3,5,5,,,10,,,,,,3,,,,,,,,,15,,,,,,5,,,,,,,,,,,,,,,,,10,,,,,,25,,,,,,,,,,,
"July 24, 2023",25,967,3,Sun/Fert/Thin,25,60,45,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,70,,,,,,,,,,10,,,,,,,,,,,
"July 24, 2023",26,967,3,Amb/Fert/Thin,26,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,60,,,,,,,,,,,,,,,,,,,,,
"July 24, 2023",27,967,3,Amb/No fert/Thin,27,10,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,50,,,,,,,,,,,,,,,,,,,,,
"July 24, 2023",28,967,3,Sun/No fert/No thin,28,25,80,,,,,,,5,,,,,,,,2,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,,50,,,,,,,,,,20,,,,2,,,,1,,,
"July 24, 2023",29,967,3,Shade/Fert/Thin,29,0,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,
"July 24, 2023",30,967,3,Shade/No fert/No thin,30,0,110,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,60,,,,,,,,,,15,,,,,,,,,,,
"July 24, 2023",31,967,3,Shade/No fert/Thin,31,15,100,,,,,,,1,,,,,,,,5,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,10,,,,10,,1,,,,,,,,40,,,,5,,2,,,,,
"July 24, 2023",32,967,3,Sun/Fert/No thin,32,0,120,,,,,,,10,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,40,,,,3,,,,,,,
"July 24, 2023",33,967,3,Sun/No fert/Thin,33,25,70,,,,,,,,,,,,,15,,,,,,,,,5,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,50,,,,,,,,,,,
"July 24, 2023",34,967,3,Amb/Fert/No thin,34,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,10,,,,5,,,,,,,
"July 24, 2023",35,967,3,Amb/No fert/No thin,35,20,110,,,,,,,,,,,,,5,,,,,,5,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,10,,,,,,,50,,,,,,,,,,,
"July 24, 2023",36,967,3,Shade/Fert/No thin,36,50,100,2,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,70,,,,,,,,5,,,
"July 24, 2023",37,968,4,Shade/Fert/No thin,37,10,110,5,,,,,,5,,,,,,10,5,5,10,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,2,,,,100,,,,,,,,,,,,,,10,,,,,,,
"July 24, 2023",38,968,4,Sun/No fert/Thin,38,80,20,,,,,,,5,,,,,,,25,,30,,,,,,,,,,,15,,,,,15,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,15,,10,,,,10,,,,,,,
"July 24, 2023",39,968,4,Shade/Fert/Thin,39,15,150,5,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,10,,,,15,,,,,,,
"July 24, 2023",40,968,4,Amb/Fert/Thin,40,5,100,1,,,,,,,,,,,,10,5,5,,,,,,,,,,,,,,,,,15,,,5,,,,,,,5,,,,,,,,,1,,,,30,,,,5,,,,,,25,,,,5,,,,,,,
"July 24, 2023",41,968,4,Sun/Fert/No thin,41,30,70,,,,,,,,,,,,,10,15,5,10,,,,,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,50,,,,,,,1,,,10,,,,15,,,,,,,
"July 24, 2023",42,968,4,Shade/No fert/Thin,42,10,90,,,,,,,,,,,,,,,5,10,,,,,,,,,,,,,,,,5,,,,20,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,10,,,,15,5,,,,,,
"July 24, 2023",43,968,4,Amb/No fert/Thin,43,25,80,2,,,,,,,,,,,,,30,5,10,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,1,,,,45,,,,15,,,,,,,,,,15,10,,,,,,
"July 24, 2023",44,968,4,Sun/Fert/Thin,44,0,110,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,5,,,,15,,,,,,,,,,,,,,,,,,,70,,,,25,,,,,,,,,,5,,,,,,,
"July 24, 2023",45,968,4,Shade/No fert/No thin,45,20,150,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,2,,,45,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,25,,,,10,,,,,,,
"July 24, 2023",46,968,4,Sun/No fert/No thin,46,10,110,2,,,,,,,,,,,,,20,5,15,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,50,,,,10,,,,,,,,,,5,,,,,,,
"July 24, 2023",47,968,4,Amb/Fert/No thin,47,50,60,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,10,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,
"July 24, 2023",48,968,4,Amb/No fert/No thin,48,5,100,,,,,,,,,,,,,2,10,,20,,,,,,,,,,,,,,,,,,,,20,,,5,,,,,,,,,,,,,,5,,20,,,,,,,,,,20,,,,,,,,,,,
"July 24, 2023",49,969,5,Shade/No fert/No thin,49,30,70,15,,,,,,,,,,,,,15,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,50,,,,,,,,20,,15,,,,5,,,,,,,
"July 24, 2023",50,969,5,Sun/Fert/Thin,50,30,70,,,,,,,,,,,,,,20,15,,,,,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,,,,,,,,,60,,,,5,,,,,,10,,,,,,,,,,,
"July 24, 2023",51,969,5,Shade/No fert/Thin,51,60,40,30,,,,,,,,,,,,,25,5,5,,,,,,,,,,,10,,,,,10,,,,,,,,,,15,,,,,,,,,,,,,10,,,,15,,,,5,,25,,,,5,,,,,,,
"July 24, 2023",52,969,5,Amb/No fert/No thin,52,15,100,,,,,,,,,,,,,5,5,5,15,,,5,,,,,,,,10,,,,,,,,,5,,,,,,10,,,,,,,,,,,,,20,,,,5,,,,10,,20,,,,5,,,,,,,
"July 24, 2023",53,969,5,Amb/Fert/No thin,53,10,120,,,,,,,,,,,,,,15,5,20,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,50,,,,5,,,,10,,15,,,,,,,,,,,
"July 24, 2023",54,969,5,Sun/No fert/No thin,54,50,45,5,,,,,,5,,,,,,,10,,25,,,,,5,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,20,,10,,,,,,,,,,,
"July 24, 2023",55,969,5,Amb/Fert/Thin,55,50,50,,,,,,,,,,,,,,,,15,,,5,,5,,,,,,5,,,,,5,,,,10,,,,,,10,,,,,,,,,,,,,15,,,,5,,,,2,,30,,,,,,,,,,,
"July 24, 2023",56,969,5,Shade/Fert/Thin,56,70,60,,,,,,,,,,,,,,,5,25,,,5,,,,,,1,,10,,,,,,,,,10,,,,,,,,,,,,,,,,,,,50,,,,10,,,,20,,25,,,,,,,,,,,
"July 24, 2023",57,969,5,Sun/No fert/Thin,57,30,60,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,15,,,,15,,,,15,,50,,,,,,,,,,,
"July 24, 2023",58,969,5,Sun/Fert/No thin,58,50,50,,,,,,,,,,,,,,,,15,,10,,,10,,,,5,,5,,,,,10,,,,10,,,,,,,,,,,,,,5,,,,,5,,,,5,,,,10,,50,,,,,,,,,,,
"July 24, 2023",59,969,5,Shade/Fert/No thin,59,40,80,15,,,,,,,,,,,,,,5,,,,,,5,,,,,,1,,,,,,,,,15,,,,,,,,,,,,,,,,,,,60,,,,5,,5,,,,,,,,,,,10,,,,
"July 24, 2023",60,969,5,Amb/No fert/Thin,60,90,15,5,,,,,,5,,,,,,,30,5,30,,,,,,5,,,,,8,,,,,,,,,5,,,,,10,,,,,,,,,,,,,,5,,,,10,,,,10,,20,,,,5,,,,,,,
"July 24, 2023",61,970,6,Sun/No fert/Thin,61,40,60,5,,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,25,,,,,,,,,,,
"July 24, 2023",62,970,6,Shade/Fert/Thin,62,20,85,,,,,,,,,,,,,25,,,10,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,20,,,,10,,,,,,20,,,,,,,,,,,
"July 24, 2023",63,970,6,Sun/Fert/Thin,63,50,50,,,,,,,,,,,,,5,40,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,15,,,,,,15,,,,,,,,,,,
"July 24, 2023",64,970,6,Sun/No fert/No thin,64,50,50,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,3,,,,5,,15,,,,,,,,,,,
"July 24, 2023",65,970,6,Amb/Fert/No thin,65,25,75,5,,,,,,,,,,,,,,,15,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,10,,,,10,,5,,,,,,,,,,,
"July 24, 2023",66,970,6,Sun/Fert/No thin,66,10,80,,,,,,,,,,,,,15,15,,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,10,,,,,,,,,,,,,,,,,
"July 24, 2023",67,970,6,Amb/No fert/Thin,67,40,60,5,,,,,,,,,,,,10,,5,2,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,10,,,,,,40,,,,5,10,,,,,,
"July 24, 2023",68,970,6,Amb/Fert/Thin,68,30,80,,,,,,,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,10,,,,,25,,,,10,,,,25,,20,,,,,5,,,,,,
"July 24, 2023",69,970,6,Shade/Fert/No thin,69,0,130,,,,,,,,,,,,,,15,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,15,,,,,,,,,,,,,,,,,
"July 24, 2023",70,970,6,Shade/No fert/No thin,70,20,90,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,5,,,,,,10,,,,,,,
"July 24, 2023",71,970,6,Amb/No fert/No thin,71,15,100,5,,,,,,,,,,,,,,5,15,,,,,,,,,,,,,,,,3,,,,5,15,,,,,,,,,,,,,,,,,,20,,,,5,,,,,,25,,,,,,,,,,,
"July 24, 2023",72,970,6,Shade/No fert/Thin,72,50,60,5,,,,,,,,,,,,,30,,15,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,40,,,,25,,,,,,,,,,,,,,,,,
"July 25, 2023",73,971,7,Amb/Fert/No thin,73,70,30,10,,,,,,,,,,,,5,30,,5,,,,,1,5,,,,,10,,,,2,,,,5,20,,,20,,,,,,,,,,,,,,,,20,,,,5,,,,5,,2,,10,,5,5,,,,,,
"July 25, 2023",74,971,7,Shade/No fert/No thin,74,30,70,5,,,,,,,,,,,,,,25,5,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,40,,,,5,,,,2,,15,,,,5,,,,,,,
"July 25, 2023",75,971,7,Shade/No fert/Thin,75,90,15,5,,,,,,10,,,,,,,20,5,,,25,5,,,10,,,,,2,,,,,5,,,,,,,25,,,,,,,,,,,,,5,10,,15,,,,15,,,,,,10,20,25,,8,,,,,1,,
"July 25, 2023",76,971,7,Sun/No fert/Thin,76,90,15,5,,,,,,,,,,,,,,1,5,,,,,5,,,,,,5,,,,,,,,,20,,,15,,,,,,,,,,,,,,10,,,,,,,,,,20,,15,,,,5,15,,,,,,
"July 25, 2023",77,971,7,Shade/Fert/Thin,77,50,60,5,,,,,,,,,,,,,20,,5,,20,5,,5,,,,,1,8,,,,,5,,,,,15,,5,,,,,,,,,,,,,,,,10,,,,,,,,,,35,,10,,,,,,,,,
"July 25, 2023",78,971,7,Sun/Fert/No thin,78,40,60,2,,,,,,,,,,,,15,10,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,50,,,,,,,,5,,15,,40,,5,5,,,,,,
"July 25, 2023",79,971,7,Sun/Fert/Thin,79,90,20,,,,,,,,,,,,,,30,,,,20,,,,,,,,,,,,,,5,,,,5,,,15,,,,,5,,,,,,,,,2,2,10,2,,,,,,,,,15,,,,5,,,,,,,
"July 25, 2023",80,971,7,Sun/No fert/No thin,80,40,70,2,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,10,15,,10,,,,,,,,,,,,,,,,10,,,,,,,,,,25,,,,8,,,,,,,
"July 25, 2023",81,971,7,Amb/Fert/Thin,81,80,50,5,,,,,,,,,,,,20,,,10,,,,,,5,,,5,,5,,,,,15,,,,,,,10,,,,,,,,,,,,,,,,,,,,5,,,,,,10,25,,,5,,5,5,,,,
"July 25, 2023",82,971,7,Amb/No fert/No thin,82,40,80,5,,,,,,,,,,,,,25,,2,,45,,,10,,,,,,,,,,,,5,5,5,10,,,5,,,,,,,,,3,,,,,,,25,,,,,,,,,,15,,,1,10,20,,,,,,
"July 25, 2023",83,971,7,Amb/No fert/Thin,83,80,20,,,,,,,,,,,,,,20,,5,5,10,,5,10,5,,,1,,,,,,1,,1,,,5,,,20,,,,1,,,,,,,,,,,,,,,,10,,,,3,,25,,,,10,,,,,2,1,
"July 25, 2023",84,971,7,Shade/Fert/No thin,84,40,70,5,,,,,,,,,,,,,25,,2,,1,,,5,5,,20,,,,,,,,5,1,,,,15,,15,,,,,,,,,,,,,,,,40,,,,10,,,,10,,5,,,,10,,,,,,,
"July 25, 2023",85,972,8,Shade/No fert/No thin,85,20,110,10,,,,,,5,,,,,,,30,5,,,,,,,,,,,,5,,,,,15,,,,,,,10,,,,,,,,,,,,,,,,50,,,,15,,,,3,,,,,,10,15,,,5,,,
"July 25, 2023",86,972,8,Sun/No fert/No thin,86,60,50,10,,,,,,,,,,,,,25,,,,,,,10,,,,,,,,,,,5,,5,,25,,,10,,,,,,,,,,,,,,5,,10,,,,10,,,,20,,5,,,,,,,,15,,,
"July 25, 2023",87,972,8,Sun/Fert/Thin,87,80,25,,,,,,,,,,,,,2,25,,5,,,,,,,,,,,2,,,,,3,,,,15,,,5,,,,,,,,,,,,,,,,20,,,,10,,,,20,,10,,,,20,,,,5,,,
"July 25, 2023",88,972,8,Shade/Fert/No thin,88,30,100,20,,,,,,,,,,,,,20,,,,10,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,70,,,,15,,,,5,,,,,,,5,,,,,,
"July 25, 2023",89,972,8,Amb/Fert/No thin,89,0,150,5,,,,,,,,,,,,,20,,,,15,,,5,,,,,,,,,,,5,,,,,,,15,,,,,,,,,,,,,,,,50,20,,,,,,,5,,10,,,,5,2,,,,,1,
"July 25, 2023",90,972,8,Sun/No fert/Thin,90,90,15,15,,,,,,1,,,,,,,20,,,,,,,5,,,,,,,,,,,5,,,,30,5,,,,,,,,,,,,,,,,,,5,,,,15,,,,25,,10,,,,10,,,,,,,
"July 25, 2023",91,972,8,Amb/No fert/No thin,91,10,90,5,,,,,,,,,,,,,30,5,,,1,,,10,,,,,,5,,,5,,,,,,20,,,20,,,,,,,,,,,,,,5,,25,,,,10,,,,,,,,10,1,,,,,5,,,
"July 25, 2023",92,972,8,Shade/Fert/Thin,92,90,20,20,,,,,,,,,,,,,35,,5,,,,,,,,,,,5,,,,,5,,,,,,,40,,,,,,,,,,,,,,,,30,,,,15,,,,20,,,,,,15,,,,5,,,
"July 25, 2023",93,972,8,Amb/No fert/Thin,93,40,30,5,,,,,,5,,,,,,,15,10,10,,,,,,,,,,,,,30,,,5,,,,25,,10,30,,,,,,,,,,,,,,,,5,,,,15,,,,10,,5,,,,10,,,,,,,
"July 25, 2023",94,972,8,Amb/Fert/Thin,94,30,60,,,,,,,,,,,,,,15,,2,,,,,,,,,,,,,,,,5,,,,,,,25,,,,,,,,,,,,,,,,60,,,,10,,,,,,,,35,,5,,,,1,,,
"July 25, 2023",95,972,8,Shade/No fert/Thin,95,30,100,15,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,10,,,,,,,15,,,,,,,,,,,,,,,,50,,,,15,,,,15,,15,,40,1,,25,,,,,,
"July 25, 2023",96,972,8,Sun/Fert/No thin,96,5,150,5,,,,,,,,,,,,,10,5,,,5,,,,,,,,,,,,,,15,,,,,,,5,,,,,,,,,,,,,,,,70,10,,,10,,,,10,,10,,,,5,,,,,,,
"July 25, 2023",97,973,9,Amb/No fert/No thin,97,30,70,10,,,,,,,,,,,,,35,,8,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,50,,,,10,,,,,,5,,,,,,,,,,,
"July 25, 2023",98,973,9,Amb/Fert/No thin,98,20,120,5,,,,,,,,,,,,,20,,5,,,,,,,,,,,,,,50,,5,,,,,,,,,,,,,,3,,,,,,,,,70,,,,,,,,5,,,,,,5,,,,,,,
"July 25, 2023",99,973,9,Shade/Fert/Thin,99,20,150,3,,,,,,,,,,,,,20,,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,10,,,,5,,,,,,,,,,,,,
"July 25, 2023",100,973,9,Shade/No fert/Thin,100,50,60,5,,,,,,,,,,,,,30,5,15,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,30,,,,10,,,,10,,20,,,,10,,,,,,,
"July 25, 2023",101,973,9,Sun/Fert/Thin,101,30,90,1,,,,,,3,,,,,,,25,,10,,,,,,,,,,,,,,,,5,,,,,20,,5,,,,,,,,,,,,,,,,60,,,,,,,,,,5,,,,10,,,,,,,
"July 25, 2023",102,973,9,Amb/Fert/Thin,102,50,50,2,,,,,,,,,,,,,25,5,25,10,,,,5,,,,,,,,,,,,,,,,,,5,,,,,,,5,,,,,,,,,50,,,,10,,,,3,,,,,,,,,,,,,
"July 25, 2023",103,973,9,Shade/No fert/No thin,103,70,40,3,,,,,,25,,,5,,,,15,,10,,10,,,,20,,,,,,,,,,,,,,5,,2,,,,5,,,,,,,,,,,,,10,,,,,,,,,,25,,,,15,,,,,,,
"July 25, 2023",104,973,9,Sun/No fert/Thin,104,40,50,,,,,,,5,,,,,,,25,5,10,,,,,5,5,,,,,10,,25,,,5,,,,,,,,,10,,,,,,,,,,,,,,20,,,,10,,,,,,15,,5,,,,,,,,,
"July 25, 2023",105,973,9,Sun/No fert/No thin,105,50,60,,,,,,,5,,,,,,,35,5,10,,,,,15,,,,,,,,,,,3,,,,,20,,5,,,,,,,,,,,,,,,,20,,,,15,,,,,,3,,,,25,,,,,,,
"July 25, 2023",106,973,9,Shade/Fert/No thin,106,0,160,,,,,,,3,,,,,,15,,,5,,30,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,10,,,,,,,,,,3,,,,,,,
"July 25, 2023",107,973,9,Amb/No fert/Thin,107,70,30,,,,,,,,,,,,,2,30,5,10,,,,,,,,,,,10,,,,,5,,,,10,,,,,,,,,,,,,,,,,,,15,,,,15,,,,,,15,,10,,10,,,,,,,
"July 25, 2023",108,973,9,Sun/Fert/No thin,108,50,60,,,,,,,,,5,,,,,15,5,10,,,,,,,,,,,,,,,,5,,,,15,,,5,,15,,5,,,5,,,,,,,,,15,,,,5,,,,5,,25,,5,,,,,,,,,
"July 25, 2023",109,974,10,Shade/Fert/Thin,109,20,80,25,,,,,,,,,,,5,,20,5,10,,10,,,1,,,,,,3,,,5,,15,,5,,,,,,,10,,,,,,,,,,,,,,15,,,,15,,,,,,10,,,5,,5,,,8,3,,
"July 25, 2023",110,974,10,Shade/No fert/Thin,110,40,60,5,,15,,,,,,,,,,,15,5,10,,,,,5,,,,,,8,,,10,,5,,,,,,,,,,,,,,15,,,,,,,,,20,,,,10,,,,5,,15,,,,,,,,10,,,
